Logging to savedate/CartPole-v0dqn20010714/
episode_Q_value:203     	episode_loss:2.11    	episode_reward:54      	episodes:200	mean 100 episode reward:24      	step_used:54	steps:4562	
episode_Q_value:38.1    	episode_loss:0.658   	episode_reward:11      	episodes:201	mean 100 episode reward:24.2    	step_used:11	steps:4573	
episode_Q_value:41      	episode_loss:0.637   	episode_reward:12      	episodes:202	mean 100 episode reward:24.1    	step_used:12	steps:4585	
episode_Q_value:110     	episode_loss:1.53    	episode_reward:31      	episodes:203	mean 100 episode reward:23.8    	step_used:31	steps:4616	
episode_Q_value:77.2    	episode_loss:1.42    	episode_reward:22      	episodes:204	mean 100 episode reward:23.8    	step_used:22	steps:4638	
episode_Q_value:123     	episode_loss:2.15    	episode_reward:33      	episodes:205	mean 100 episode reward:23.9    	step_used:33	steps:4671	
episode_Q_value:105     	episode_loss:1.4     	episode_reward:28      	episodes:206	mean 100 episode reward:24      	step_used:28	steps:4699	
episode_Q_value:217     	episode_loss:2.86    	episode_reward:59      	episodes:207	mean 100 episode reward:23.7    	step_used:59	steps:4758	
episode_Q_value:41.4    	episode_loss:0.514   	episode_reward:12      	episodes:208	mean 100 episode reward:24.1    	step_used:12	steps:4770	
episode_Q_value:64.3    	episode_loss:0.973   	episode_reward:18      	episodes:209	mean 100 episode reward:24.1    	step_used:18	steps:4788	
episode_Q_value:51.6    	episode_loss:0.807   	episode_reward:15      	episodes:210	mean 100 episode reward:24.2    	step_used:15	steps:4803	
episode_Q_value:112     	episode_loss:1.47    	episode_reward:30      	episodes:211	mean 100 episode reward:24.1    	step_used:30	steps:4833	
episode_Q_value:257     	episode_loss:2.92    	episode_reward:67      	episodes:212	mean 100 episode reward:24.2    	step_used:67	steps:4900	
episode_Q_value:46.1    	episode_loss:0.542   	episode_reward:13      	episodes:213	mean 100 episode reward:24.7    	step_used:13	steps:4913	
episode_Q_value:84.4    	episode_loss:1.35    	episode_reward:23      	episodes:214	mean 100 episode reward:24.6    	step_used:23	steps:4936	
episode_Q_value:34.4    	episode_loss:0.475   	episode_reward:10      	episodes:215	mean 100 episode reward:24.5    	step_used:10	steps:4946	
episode_Q_value:64.4    	episode_loss:0.81    	episode_reward:18      	episodes:216	mean 100 episode reward:24.2    	step_used:18	steps:4964	
episode_Q_value:182     	episode_loss:5.67    	episode_reward:47      	episodes:217	mean 100 episode reward:24.2    	step_used:47	steps:5011	
episode_Q_value:76.7    	episode_loss:2.16    	episode_reward:17      	episodes:218	mean 100 episode reward:24.4    	step_used:17	steps:5028	
episode_Q_value:66.4    	episode_loss:1.29    	episode_reward:15      	episodes:219	mean 100 episode reward:24.2    	step_used:15	steps:5043	
episode_Q_value:86      	episode_loss:1.02    	episode_reward:19      	episodes:220	mean 100 episode reward:23.8    	step_used:19	steps:5062	
episode_Q_value:97.3    	episode_loss:1.15    	episode_reward:21      	episodes:221	mean 100 episode reward:23.8    	step_used:21	steps:5083	
episode_Q_value:99.7    	episode_loss:0.91    	episode_reward:22      	episodes:222	mean 100 episode reward:23.7    	step_used:22	steps:5105	
episode_Q_value:80.1    	episode_loss:1.38    	episode_reward:18      	episodes:223	mean 100 episode reward:23.8    	step_used:18	steps:5123	
episode_Q_value:67.3    	episode_loss:0.879   	episode_reward:15      	episodes:224	mean 100 episode reward:23.8    	step_used:15	steps:5138	
episode_Q_value:91.7    	episode_loss:1.29    	episode_reward:20      	episodes:225	mean 100 episode reward:23.9    	step_used:20	steps:5158	
episode_Q_value:131     	episode_loss:1.57    	episode_reward:28      	episodes:226	mean 100 episode reward:23.9    	step_used:28	steps:5186	
episode_Q_value:93.4    	episode_loss:1.54    	episode_reward:21      	episodes:227	mean 100 episode reward:23.7    	step_used:21	steps:5207	
episode_Q_value:146     	episode_loss:2.03    	episode_reward:32      	episodes:228	mean 100 episode reward:23.5    	step_used:32	steps:5239	
episode_Q_value:105     	episode_loss:1.5     	episode_reward:24      	episodes:229	mean 100 episode reward:23.7    	step_used:24	steps:5263	
episode_Q_value:63.5    	episode_loss:1.25    	episode_reward:15      	episodes:230	mean 100 episode reward:23.7    	step_used:15	steps:5278	
episode_Q_value:99      	episode_loss:1.74    	episode_reward:23      	episodes:231	mean 100 episode reward:23.7    	step_used:23	steps:5301	
episode_Q_value:333     	episode_loss:4.95    	episode_reward:73      	episodes:232	mean 100 episode reward:23.6    	step_used:73	steps:5374	
episode_Q_value:174     	episode_loss:2.15    	episode_reward:37      	episodes:233	mean 100 episode reward:24.2    	step_used:37	steps:5411	
episode_Q_value:154     	episode_loss:2.07    	episode_reward:33      	episodes:234	mean 100 episode reward:24.4    	step_used:33	steps:5444	
episode_Q_value:66.3    	episode_loss:0.915   	episode_reward:15      	episodes:235	mean 100 episode reward:24.5    	step_used:15	steps:5459	
episode_Q_value:194     	episode_loss:1.96    	episode_reward:41      	episodes:236	mean 100 episode reward:24.4    	step_used:41	steps:5500	
episode_Q_value:286     	episode_loss:3.82    	episode_reward:61      	episodes:237	mean 100 episode reward:24.7    	step_used:61	steps:5561	
episode_Q_value:99.1    	episode_loss:0.935   	episode_reward:22      	episodes:238	mean 100 episode reward:25.2    	step_used:22	steps:5583	
episode_Q_value:139     	episode_loss:2.06    	episode_reward:31      	episodes:239	mean 100 episode reward:25.3    	step_used:31	steps:5614	
